Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D4, D5, D6, D7, D8, D9",0201,32,CSP0603AN101-WP30300563001-3T,
J1,PinHeader_1x05_P2.54mm_Vertical,1,DATA,
J2,PinHeader_1x04_P2.54mm_Vertical,1,POW,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R4, R5, R6, R7, R8, R9",0201,32,330,
"U1, U2, U3, U4",TSSOP-16_4.4x5mm_P0.65mm,4,74HCT595PW,
