Designator,Footprint,Quantity,Value,LCSC Part #
"J18, J19, J20, J21, J26, J27, J30, J31, J32, J33",PinSocket_1x04_P2.54mm_Vertical,10,KNOB_LED_D1,C2718488
J2,TE_2-1734839-2_1x22-1MP_P0.5mm_Horizontal,1,SCREEN,C22435644
"J22, J23, J24, J25, J28, J29, J34, J35, J36, J37",PinSocket_1x04_P2.54mm_Vertical,10,KNOB_LED_P1,C2718488
"R1, R10, R11, R12, R13, R14, R2, R3, R4, R5, R6, R7, R8, R9",0603,14,330,C25231
U10,SOT-23-6,1,TTP223-BA6,C42422127
"U4, U5, U6",QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm_ThermalVias,3,MCP23017x-x-ML,C629439
"U8, U9",JEITA_SOIC-16_3.9x9.9mm_P1.27mm,2,74HCT595D,C52140404
